# name	interval	# bootstrap heuristics — updated by pkg-cadence workflow
dnf	monthly
dnf-bootc	monthly
dnf-data	monthly
dnf-plugins-core	monthly
dnsmasq	monthly
dos2unix	monthly
dosfstools	monthly
dotconf	monthly
double-conversion	monthly
dracut	monthly
dracut-config-rescue	monthly
dracut-network	monthly
dracut-squash	monthly
duktape	monthly
e2fsprogs	monthly
e2fsprogs-libs	monthly
ed	monthly
efi-filesystem	monthly
efibootmgr	monthly
efivar-libs	monthly
elfutils-debuginfod-client	monthly
elfutils-default-yama-scope	monthly
elfutils-libelf	monthly
elfutils-libelf-devel	monthly
elfutils-libs	monthly
emacs-filesystem	monthly
enchant2	monthly
enscript	monthly
epel-release	monthly
erofs-utils	monthly
espeak-ng	monthly
ethtool	monthly
evolution-data-server	monthly
evolution-data-server-langpacks	monthly
exempi	monthly
exfatprogs	monthly
exiv2	monthly
exiv2-libs	monthly
expat	monthly
fastfetch	weekly
ffmpeg	monthly
ffmpegthumbnailer	monthly
ffmpegthumbnailer-libs	monthly
fftw-libs-double	monthly
fftw-libs-single	monthly
file	monthly
file-libs	monthly
filesystem	monthly
findutils	monthly
firewalld	monthly
firewalld-filesystem	monthly
flac-libs	monthly
flashrom	monthly
flatpak	monthly
flatpak-selinux	monthly
flatpak-session-helper	monthly
flex	monthly
flite	monthly
fontconfig	monthly
fonts-filesystem	yearly
foomatic	monthly
foomatic-db	monthly
foomatic-db-filesystem	monthly
foomatic-db-ppds	monthly
fpaste	monthly
fprintd	monthly
fprintd-pam	monthly
freeglut	monthly
freerdp-libs	monthly
freetype	monthly
fribidi	monthly
fstrm	monthly
fuse	monthly
fuse-common	monthly
fuse-libs	monthly
fuse3	monthly
fuse3-libs	monthly
fwupd	monthly
fwupd-efi	monthly
fwupd-plugin-flashrom	monthly
fzf	monthly
game-music-emu	monthly
gawk	monthly
gawk-all-langpacks	monthly
gcc	monthly
gcr	monthly
gcr-libs	monthly
gcr3	monthly
gcr3-base	monthly
gd	monthly
gdbm	monthly
gdbm-libs	monthly
gdk-pixbuf2	monthly
gdm	monthly
generic-logos	monthly
geoclue2	monthly
geoclue2-libs	monthly
geocode-glib	monthly
gettext	monthly
gettext-envsubst	monthly
gettext-libs	monthly
gettext-runtime	monthly
ghostscript	monthly
ghostscript-tools-fonts	yearly
ghostscript-tools-printing	monthly
giflib	monthly
git	monthly
git-core	monthly
git-core-doc	monthly
gjs	monthly
glib-networking	monthly
glib2	monthly
glibc	monthly
glibc-all-langpacks	monthly
glibc-common	monthly
glibc-devel	monthly
glibc-gconv-extra	monthly
glibc-minimal-langpack	monthly
glow	monthly
glx-utils	monthly
glycin-loaders	monthly
glycin-thumbnailer	monthly
gmp	monthly
gnome-autoar	monthly
gnome-bluetooth	monthly
gnome-bluetooth-libs	monthly
gnome-color-manager	monthly
gnome-control-center	monthly
gnome-control-center-filesystem	monthly
gnome-desktop3	monthly
gnome-desktop4	monthly
gnome-disk-utility	monthly
gnome-initial-setup	monthly
gnome-keyring	monthly
gnome-keyring-pam	monthly
gnome-online-accounts	monthly
gnome-online-accounts-libs	monthly
gnome-remote-desktop	monthly
gnome-session	monthly
gnome-session-wayland-session	monthly
gnome-settings-daemon	monthly
gnome-shell	monthly
gnome-tour	monthly
gnome-user-docs	monthly
gnome49-el10-compat	monthly
gnupg2	monthly
gnutls	monthly
gobject-introspection	monthly
google-droid-sans-fonts	yearly
google-noto-color-emoji-fonts	yearly
google-noto-emoji-fonts	yearly
google-noto-fonts-common	yearly
google-noto-naskh-arabic-vf-fonts	yearly
google-noto-sans-arabic-vf-fonts	yearly
google-noto-sans-armenian-vf-fonts	yearly
google-noto-sans-bengali-vf-fonts	yearly
google-noto-sans-canadian-aboriginal-vf-fonts	yearly
google-noto-sans-cherokee-vf-fonts	yearly
google-noto-sans-cjk-vf-fonts	yearly
google-noto-sans-devanagari-vf-fonts	yearly
google-noto-sans-ethiopic-vf-fonts	yearly
google-noto-sans-georgian-vf-fonts	yearly
google-noto-sans-gujarati-vf-fonts	yearly
google-noto-sans-gurmukhi-vf-fonts	yearly
google-noto-sans-hebrew-vf-fonts	yearly
google-noto-sans-kannada-vf-fonts	yearly
google-noto-sans-khmer-vf-fonts	yearly
google-noto-sans-lao-vf-fonts	yearly
google-noto-sans-math-fonts	yearly
google-noto-sans-meetei-mayek-vf-fonts	yearly
google-noto-sans-mono-cjk-vf-fonts	yearly
google-noto-sans-mono-vf-fonts	yearly
google-noto-sans-ol-chiki-vf-fonts	yearly
google-noto-sans-oriya-vf-fonts	yearly
google-noto-sans-sinhala-vf-fonts	yearly
google-noto-sans-symbols-2-fonts	yearly
google-noto-sans-symbols-vf-fonts	yearly
google-noto-sans-tamil-vf-fonts	yearly
google-noto-sans-telugu-vf-fonts	yearly
google-noto-sans-thaana-vf-fonts	yearly
google-noto-sans-thai-vf-fonts	yearly
google-noto-sans-vf-fonts	yearly
google-noto-serif-armenian-vf-fonts	yearly
google-noto-serif-bengali-vf-fonts	yearly
